Outlets	Modes	Supercatchment	StreamID
391	1006	9	2
879	1150	9	2
506	717	9	5
695	1020	9	5
533	1161	9	6
1146	1263	9	6
549	1317	9	7
969	1532	9	7
651	1478	9	8
1371	1704	9	8
1549	1911	9	8
1882	2026	9	8
632	1069	9	9
433	1163	9	9
430	1163	9	10
1195	1392	9	10
294	3633	9	11
3556	4016	9	11
3806	4182	9	11
3681	4314	9	11
714	1061	9	13
845	1277	9	13
1050	1654	9	13
1281	1871	9	13
763	1422	9	14
1209	1478	9	14
1335	1652	9	14
1076	1676	9	14
1487	1837	9	14
678	1198	9	15
1090	1399	9	15
1303	1654	9	15
678	1198	9	17
1172	1423	9	17
1434	1650	9	17
848	1895	9	18
902	1986	9	19
1566	2293	9	19
2179	2544	9	19
2382	2662	9	19
818	1210	9	21
924	1611	9	21
1362	1724	9	21
1014	1896	9	22
1493	2179	9	22
1733	2477	9	22
1024	1369	9	23
1229	2186	9	23
1190	1473	9	24
1476	2091	9	24
813	1208	9	25
1070	1772	9	25
1217	2334	9	25
1430	2674	9	25
817	1208	9	26
1048	1835	9	26
1637	2474	9	26
2328	2652	9	26
1148	1834	9	27
1581	2141	9	27
916	2182	9	27
925	2182	9	28
2415	2753	9	28
1574	2564	9	31
1957	2927	9	31
2157	2977	9	31
2996	3177	9	31
3102	3380	9	31
1261	4463	9	31
1570	2549	9	32
1802	2744	9	32
1191	2137	9	33
1886	2419	9	33
2299	2739	9	33
1673	2864	9	34
2835	3232	9	34
1759	2540	9	35
2181	2951	9	35
2412	3461	9	35
2665	3717	9	35
3154	3866	9	35
3466	3965	9	35
1302	4463	9	35
1756	2513	9	36
2143	3009	9	36
2464	3070	9	36
2643	3478	9	36
1277	4463	9	36
1191	2114	9	37
1705	2377	9	37
1187	2114	9	38
1695	2394	9	38
2444	2739	9	38
2294	3383	9	40
2822	3576	9	40
2439	3113	9	41
2563	3447	9	41
2263	4404	9	41
290	3640	9	42
2651	3736	9	42
2255	4404	9	42
2619	3445	9	43
2732	3397	9	44
290	3649	9	45
2748	3808	9	45
1302	4463	9	45
2756	3038	9	46
290	3633	9	46
2950	3918	9	46
4132	4143	9	46
290	3633	9	48
2898	4011	9	48
3358	4209	9	48
3018	3545	9	50
2775	3287	9	51
3290	3473	9	51
290	3633	9	52
3091	3821	9	52
3809	4156	9	52
290	3633	9	54
3247	4152	9	54
4205	4286	9	54
4000	4403	9	54
290	3650	9	55
3248	4125	9	55
1299	4463	9	55
290	3640	9	56
3236	3963	9	56
3979	4101	9	56
2255	4404	9	56
2775	3294	9	58
3230	3445	9	58
3455	3827	9	58
2761	3294	9	59
3297	3349	9	59
290	3650	9	61
3341	4151	9	61
3979	4247	9	61
4161	4398	9	61
1299	4463	9	61
290	3633	9	62
290	3633	9	63
3890	4004	9	63
3687	3923	9	64
3447	3739	9	65
3601	3883	9	66
290	3633	9	67
3198	4214	9	67
3473	4354	9	67
290	3633	9	68
3191	4180	9	68
290	3640	9	71
3601	4107	9	71
3868	4258	9	71
2255	4404	9	71
290	3633	9	72
3621	3928	9	72
3803	4069	9	72
290	3633	9	73
3541	3996	9	73
3795	4182	9	73
3667	4314	9	73
3662	3984	9	74
3629	3683	9	75
3750	4035	9	75
290	3633	9	76
3737	4128	9	76
3285	4291	9	76
4042	4439	9	76
4340	4735	9	76
290	3650	9	77
1277	4463	9	77
4542	4720	9	77
290	3633	9	78
3266	4291	9	78
4225	4632	9	78
290	3633	9	79
3274	4291	9	79
3804	4522	9	79
290	3633	9	80
3291	4291	9	80
3814	4295	9	80
4025	4435	9	80
4358	4543	9	80
290	3640	9	81
3796	4281	9	81
2261	4404	9	81
4141	4433	9	81
290	3650	9	82
1299	4408	9	82
4324	4635	9	82
290	3640	9	83
2225	4403	9	83
4270	4417	9	83
4393	4883	9	83
4847	5198	9	83
5183	5472	9	83
290	3640	9	84
2225	4403	9	84
4222	4629	9	84
4348	4856	9	84
4470	4868	9	84
4876	5044	9	84
290	3640	9	85
2236	4404	9	85
4127	4633	9	85
4403	5006	9	85
4756	5213	9	85
5384	5587	9	85
290	3649	9	86
1273	4463	9	86
4471	4547	9	86
4703	4954	9	86
290	3649	9	87
1270	4432	9	87
290	3649	9	88
1270	4463	9	88
4374	4855	9	88
4673	4969	9	88
290	3649	9	89
1273	4463	9	89
4325	4855	9	89
4882	5324	9	89
290	3650	9	90
1277	4463	9	90
4353	4855	9	90
4799	5071	9	90
5007	5278	9	90
