Outlets	Modes	Supercatchment	StreamID
299	917	2	2
727	1202	2	2
957	1553	2	2
618	831	2	3
334	895	2	3
798	973	2	3
333	739	2	4
523	861	2	4
380	665	2	5
596	1302	2	5
1298	1616	2	5
1629	1749	2	5
498	1137	2	7
1068	1284	2	7
480	1325	2	8
1044	1495	2	8
1167	1576	2	8
1405	1962	2	8
1981	2065	2	8
602	776	2	10
465	836	2	10
763	1211	2	10
948	1372	2	10
1195	1540	2	10
1332	1580	2	10
1554	1637	2	10
614	1563	2	11
1495	1764	2	11
782	1302	2	13
1214	1659	2	13
499	2070	2	13
457	836	2	19
690	1304	2	19
798	1416	2	19
1179	1778	2	19
1297	1885	2	19
1451	1957	2	19
450	836	2	20
818	1743	2	20
1367	1824	2	20
1634	1926	2	20
294	1721	2	21
991	1724	2	21
716	2013	2	21
611	2793	2	21
1023	1721	2	22
294	1721	2	22
1206	1919	2	22
735	2013	2	22
504	2070	2	22
1983	2132	2	22
607	2793	2	22
294	1721	2	24
1098	1798	2	24
1359	2029	2	24
634	2793	2	24
761	1411	2	25
294	1721	2	25
1181	1749	2	25
1463	2056	2	25
1878	2261	2	25
607	2793	2	25
750	1447	2	26
1276	1699	2	26
279	1721	2	26
499	2070	2	26
603	2793	2	26
294	1721	2	27
1189	2004	2	27
735	2013	2	27
504	2070	2	27
1029	2095	2	27
279	1721	2	30
495	2070	2	30
1308	2099	2	30
1638	2413	2	30
2146	2532	2	30
647	2793	2	30
2427	2807	2	30
2760	2945	2	30
294	1721	2	31
1296	1944	2	31
757	2013	2	31
1456	2035	2	31
1029	2095	2	31
1772	2334	2	31
1968	2448	2	31
2205	2635	2	31
2569	2728	2	31
504	1667	2	32
294	1721	2	32
992	1772	2	32
1122	2100	2	32
1766	2353	2	32
2345	2493	2	32
2450	2565	2	32
294	1721	2	33
1337	1961	2	33
764	2013	2	33
1071	2096	2	33
1512	2142	2	33
1793	2380	2	33
2153	2470	2	33
2449	2602	2	33
279	1667	2	34
1111	2130	2	34
1340	2622	2	34
2358	2868	2	34
2598	3067	2	34
500	1667	2	35
279	1721	2	35
984	1772	2	35
1114	2130	2	35
1346	2592	2	35
2204	2657	2	35
2604	2725	2	35
500	1666	2	36
279	1721	2	36
1162	1949	2	36
1422	2074	2	36
1934	2318	2	36
1700	2414	2	36
2094	2571	2	36
497	1666	2	37
279	1721	2	37
1162	1949	2	37
1721	2209	2	37
1927	2394	2	37
2115	2526	2	37
279	1721	2	38
649	1758	2	38
495	2070	2	38
1495	2269	2	38
279	1721	2	39
649	1758	2	39
1669	1937	2	39
1975	2331	2	39
279	1721	2	41
756	2013	2	41
1526	2074	2	41
1036	2096	2	41
1368	2419	2	41
2012	2648	2	41
279	1721	2	42
1110	2310	2	42
2135	2510	2	42
1521	2558	2	42
2361	2600	2	42
611	2793	2	42
279	1721	2	43
1081	2264	2	43
611	2793	2	43
294	1721	2	44
1270	2121	2	44
1510	2324	2	44
2170	2566	2	44
2510	2749	2	44
611	2793	2	44
294	1721	2	45
1270	2097	2	45
611	2793	2	45
279	1721	2	46
1595	2096	2	46
2078	2271	2	46
1201	2545	2	46
611	2793	2	46
279	1721	2	47
1620	2319	2	47
2073	2773	2	47
611	2793	2	47
2325	2798	2	47
279	1721	2	48
756	2013	2	48
1495	2087	2	48
1622	2186	2	48
1342	2419	2	48
1967	2855	2	48
2589	3004	2	48
2870	3163	2	48
279	1721	2	49
756	2013	2	49
1447	2087	2	49
1036	2096	2	49
1342	2419	2	49
1649	2597	2	49
2468	2750	2	49
279	1721	2	55
495	2070	2	55
601	2704	2	55
2692	3102	2	55
279	1721	2	56
499	2070	2	56
1881	2743	2	56
601	2793	2	56
2807	3011	2	56
1727	3515	2	56
279	1721	2	57
756	2013	2	57
1969	2401	2	57
1331	2419	2	57
1517	2844	2	57
2485	2910	2	57
2661	2988	2	57
1790	3434	2	57
279	1721	2	58
495	2070	2	58
1229	2545	2	58
1974	2769	2	58
647	2793	2	58
279	1721	2	59
2000	2454	2	59
1217	2545	2	59
2463	2658	2	59
611	2793	2	59
279	1721	2	60
495	2070	2	60
611	2793	2	60
1684	3014	2	60
2766	3388	2	60
2509	3474	2	60
2975	3570	2	60
279	1721	2	61
731	2013	2	61
495	2070	2	61
1342	2419	2	61
601	2793	2	61
1493	2844	2	61
2005	3065	2	61
2153	3072	2	61
2746	3470	2	61
279	1721	2	62
723	2013	2	62
495	2070	2	62
1331	2419	2	62
611	2793	2	62
1488	2844	2	62
1993	3065	2	62
2908	3630	2	62
279	1721	2	63
495	2070	2	63
601	2793	2	63
1684	2979	2	63
2778	3326	2	63
3264	3759	2	63
279	1721	2	64
495	2070	2	64
611	2793	2	64
2185	2883	2	64
1684	2979	2	64
2783	3169	2	64
2967	3291	2	64
279	1721	2	65
495	2070	2	65
611	2793	2	65
2771	3249	2	65
3308	3558	2	65
3540	3675	2	65
279	1721	2	66
723	2013	2	66
495	2070	2	66
1331	2419	2	66
611	2793	2	66
1488	2844	2	66
1818	3434	2	66
2549	3533	2	66
279	1721	2	67
723	2013	2	67
495	2070	2	67
1326	2418	2	67
611	2793	2	67
1502	2844	2	67
1833	3434	2	67
2917	3603	2	67
3295	3701	2	67
279	1721	2	68
495	2070	2	68
611	2793	2	68
2342	2980	2	68
2518	3648	2	68
279	1721	2	69
495	2070	2	69
601	2793	2	69
2386	2980	2	69
2539	3122	2	69
2735	3244	2	69
3073	3361	2	69
279	1721	2	70
495	2070	2	70
611	2793	2	70
1765	3509	2	70
3161	3774	2	70
3657	3940	2	70
279	1721	2	71
495	2070	2	71
611	2793	2	71
1765	3516	2	71
3473	3761	2	71
279	1721	2	72
495	2070	2	72
611	2793	2	72
1765	3516	2	72
3081	3712	2	72
3666	3808	2	72
