Outlets	Modes	Supercatchment	StreamID
386	1026	1	2
671	1387	1	2
545	1456	1	2
895	1627	1	2
342	1079	1	3
520	1461	1	3
740	1747	1	3
1552	1985	1	3
1974	2276	1	3
945	1214	1	6
409	1648	1	7
1480	2183	1	7
1760	2310	1	7
582	1533	1	12
965	1636	1	12
1178	1981	1	12
1671	2176	1	12
401	2267	1	12
776	1339	1	17
1005	1508	1	17
1435	1623	1	17
422	1753	1	17
595	1872	1	17
817	1685	1	18
1329	1771	1	18
1648	1888	1	18
1817	2040	1	18
1950	2117	1	18
291	1979	1	19
790	2025	1	19
1142	2089	1	19
1961	2301	1	19
2086	2420	1	19
815	1636	1	20
1180	1793	1	20
1301	1910	1	20
1616	2037	1	20
404	2267	1	20
562	2549	1	20
921	1632	1	21
456	1753	1	21
1638	1785	1	21
634	1872	1	21
1407	2065	1	21
445	1753	1	24
960	1759	1	24
1449	1853	1	24
618	1872	1	24
430	1753	1	25
618	1872	1	25
291	2019	1	25
975	2214	1	25
2287	2389	1	25
452	1753	1	27
1042	1804	1	27
618	1872	1	27
1652	2084	1	27
973	1770	1	28
1622	1910	1	28
1727	2032	1	28
404	2267	1	28
422	1753	1	31
1054	1882	1	31
687	2068	1	31
1552	2185	1	31
422	1753	1	32
595	1912	1	32
291	2019	1	32
709	2069	1	32
1037	2766	1	32
1927	3025	1	32
2947	3265	1	32
938	1716	1	33
1039	1947	1	33
255	2019	1	33
1932	2201	1	33
436	2267	1	33
2060	2312	1	33
566	2549	1	33
1018	1604	1	34
291	2019	1	34
404	2267	1	34
1326	2456	1	34
576	2549	1	34
1115	1728	1	36
422	1753	1	36
1407	1850	1	36
618	1872	1	36
1759	2108	1	36
1915	2259	1	36
605	1581	1	37
1097	1678	1	37
430	1753	1	37
1752	1863	1	37
605	1581	1	38
1142	1619	1	38
456	1753	1	38
1633	1914	1	38
1505	1998	1	38
2009	2080	1	38
422	1753	1	39
1186	1798	1	39
634	1872	1	39
291	2019	1	39
1515	2177	1	39
1695	2194	1	39
1924	2479	1	39
291	2019	1	40
1229	2176	1	40
404	2267	1	40
1607	2382	1	40
606	2539	1	40
2455	2579	1	40
1250	1896	1	41
1584	2007	1	41
255	2019	1	41
1714	2105	1	41
404	2267	1	41
566	2539	1	41
1166	1887	1	42
464	1955	1	42
291	2019	1	42
1334	2108	1	42
1542	2191	1	42
1709	2264	1	42
464	1955	1	43
291	2019	1	43
1680	2040	1	43
1976	2249	1	43
1274	1685	1	46
430	1753	1	46
608	1872	1	46
1592	2181	1	46
1969	2306	1	46
430	1753	1	47
608	1872	1	47
1279	2015	1	47
1845	2175	1	47
422	1753	1	49
608	1872	1	49
291	2019	1	49
1094	2488	1	49
1474	2706	1	49
2763	2873	1	49
291	2019	1	52
1167	2171	1	52
404	2267	1	52
1489	2295	1	52
1924	2524	1	52
2156	2785	1	52
2257	3031	1	52
291	2019	1	53
1174	2171	1	53
404	2267	1	53
2161	2580	1	53
2519	2629	1	53
291	2019	1	54
547	2149	1	54
404	2267	1	54
1928	2398	1	54
2023	2530	1	54
2517	2752	1	54
2260	2770	1	54
1516	2120	1	55
547	2149	1	55
404	2267	1	55
291	2019	1	56
404	2267	1	56
552	2539	1	56
2255	2699	1	56
2506	2831	1	56
2864	3178	1	56
430	1753	1	57
608	1872	1	57
1111	2014	1	57
2091	2207	1	57
430	1753	1	58
608	1872	1	58
291	2019	1	58
1137	2020	1	58
1387	2069	1	58
1920	2225	1	58
291	2019	1	59
404	2267	1	59
1592	2383	1	59
1189	2391	1	59
1443	2495	1	59
2305	2946	1	59
422	1753	1	60
595	1912	1	60
291	2019	1	60
709	2069	1	60
887	2219	1	60
1182	2288	1	60
1621	2756	1	60
2456	2988	1	60
430	1753	1	61
291	2019	1	61
687	2068	1	61
916	2219	1	61
1211	2257	1	61
1844	2752	1	61
2176	3012	1	61
2437	3104	1	61
291	2019	1	62
404	2267	1	62
552	2539	1	62
2202	2813	1	62
291	2019	1	63
404	2267	1	63
1314	2326	1	63
552	2539	1	63
1704	2554	1	63
1511	2628	1	63
2268	2781	1	63
2363	2909	1	63
291	2019	1	64
404	2267	1	64
1314	2303	1	64
552	2539	1	64
2069	2723	1	64
2289	2728	1	64
2493	2881	1	64
291	2019	1	65
404	2267	1	65
1256	2299	1	65
2027	2446	1	65
552	2539	1	65
2204	2703	1	65
2761	2885	1	65
422	1753	1	68
595	1872	1	68
291	2019	1	68
1087	2488	1	68
1824	2499	1	68
2078	2703	1	68
1470	2720	1	68
2511	3009	1	68
2334	3031	1	68
291	2019	1	69
404	2267	1	69
552	2539	1	69
2089	2714	1	69
422	1753	1	70
608	1872	1	70
291	2019	1	70
1094	2488	1	70
1470	2720	1	70
2369	3336	1	70
422	1753	1	71
608	1912	1	71
291	2019	1	71
709	2069	1	71
881	2219	1	71
2109	2963	1	71
2751	3205	1	71
430	1753	1	72
291	2019	1	72
687	2068	1	72
916	2219	1	72
2011	2751	1	72
2403	2882	1	72
2680	3248	1	72
3241	3496	1	72
291	2019	1	73
404	2267	1	73
1314	2326	1	73
552	2539	1	73
1483	2627	1	73
1850	2892	1	73
2633	3087	1	73
291	2019	1	74
404	2267	1	74
1265	2326	1	74
552	2539	1	74
1483	2627	1	74
1946	2939	1	74
2585	3404	1	74
291	2019	1	75
928	2138	1	75
404	2267	1	75
552	2549	1	75
1636	2647	1	75
2674	2894	1	75
291	2019	1	76
928	2138	1	76
404	2267	1	76
552	2549	1	76
1610	2647	1	76
2476	2956	1	76
2791	3212	1	76
291	2019	1	77
404	2267	1	77
552	2539	1	77
2529	2991	1	77
2710	3202	1	77
291	2019	1	78
404	2267	1	78
1944	2436	1	78
552	2539	1	78
2430	2950	1	78
2535	3080	1	78
291	2019	1	79
404	2267	1	79
1172	2390	1	79
1450	2495	1	79
1980	2508	1	79
1605	2946	1	79
2142	2982	1	79
2381	3054	1	79
291	2019	1	80
404	2267	1	80
1172	2391	1	80
1450	2495	1	80
2089	2657	1	80
1630	2946	1	80
2265	2952	1	80
291	2019	1	81
404	2267	1	81
552	2539	1	81
2031	2582	1	81
2236	2739	1	81
2467	3032	1	81
2668	3164	1	81
291	2019	1	82
404	2267	1	82
552	2539	1	82
2786	3141	1	82
2919	3354	1	82
291	2019	1	83
404	2267	1	83
552	2539	1	83
2179	3000	1	83
2837	3256	1	83
422	1753	1	84
618	1872	1	84
291	2019	1	84
1087	2488	1	84
1495	2745	1	84
2428	3243	1	84
2995	3440	1	84
422	1753	1	85
595	1872	1	85
291	2019	1	85
1087	2488	1	85
1495	2745	1	85
2539	3177	1	85
